Rank,School Name,Annual ROI,Total 4 Year Cost,Graduation Rate,Typical Years to Graduate,Average Loan Amount
176,University of North Carolina at Chapel Hill (UNC)(In-State),7.9,97100,90,4,26600
176,University of Washington - Tacoma Campus(In-State),7.9,110000,55,4,21400
189,Boise State University (BSU)(In-State),7.8,81300,36,5,23800
189,CUNY - City College(In-State),7.8,108000,44,5,20000
189,California State Polytechnic University - Pomona(Out-of-State),7.8,140000,56,5,22700
189,California State University - Dominguez Hills (CSUDH)(In-State),7.8,89100,32,6,15600
189,"Fashion Institute of Technology - New York, NY(Out-of-State)",7.8,123000,74,N/A,32000
189,Florida Atlantic University (FAU)(In-State),7.8,87000,46,5,24900
189,Florida International University (FIU)(In-State),7.8,92700,54,5,23000
189,New Jersey Institute of Technology (NJIT)(Out-of-State),7.8,184000,59,5,31900
189,Northern Kentucky University (NKU)(In-State),7.8,79200,36,5,23200
189,Ohio State University (OSU) - Main Campus(In-State),7.8,102000,83,4,28700
189,Oregon Institute of Technology (OIT)(Out-of-State),7.8,146000,47,5,24700
189,University of Louisiana (UL) at Lafayette(In-State),7.8,78800,48,5,19500
189,University of South Alabama(In-State),7.8,79300,38,5,36400
189,University of Wisconsin (UW) - La Crosse Campus(In-State),7.8,72100,68,5,26900
189,Washington State University (WSU)(In-State),7.8,111000,67,5,28100
204,Auburn University(In-State),7.7,108000,71,5,31300
204,CUNY - Bernard M Baruch College(Out-of-State),7.7,139000,66,5,18900
204,California State University - Bakersfield (CSUB)(In-State),7.7,89100,41,5,18200
204,California State University - Los Angeles (CSULA)(In-State),7.7,91000,41,6,14500
204,Clayton State University(In-State),7.7,74900,33,5,29500
204,Florida State University (FSU)(In-State),7.7,86100,79,4,25700
204,Indiana University-Purdue University - Indianapolis (IUPUI)(In-State),7.7,89900,43,5,25700
204,Michigan Technological University(Out-of-State),7.7,167000,64,5,29300
204,Southwestern Oklahoma State University(In-State),7.7,71700,34,5,15100
204,Towson University(In-State),7.7,94200,68,5,28100
204,University of Central Florida (UCF)(In-State),7.7,84700,70,5,22800
204,University of Colorado at Colorado Springs(In-State),7.7,86300,47,5,28000
204,University of Illinois at Chicago(In-State),7.7,117000,60,5,25900
204,University of Massachusetts (UMass) - Dartmouth Campus(In-State),7.7,103000,47,5,26800
204,University of North Texas (UNT)(In-State),7.7,83000,50,5,23200
204,University of Rhode Island (URI)(In-State),7.7,109000,59,4,24600
204,West Texas A & M University(In-State),7.7,77300,40,5,22600
221,California State University - San Marcos (CSUSM)(In-State),7.6,95000,49,5,22800
221,Fitchburg State College(In-State),7.6,83400,57,5,25900
221,Mississippi State University (MSU)(In-State),7.6,88100,60,5,26900
221,Princeton University(Private),7.6,231000,97,4,14100
221,SUNY - Geneseo(In-State),7.6,89100,78,4,26000
221,Sam Houston State University(In-State),7.6,80700,53,5,25800
221,Tarleton State University (TSU)(In-State),7.6,72000,45,5,38500
221,Troy University(In-State),7.6,73600,35,5,27400
221,University of Nebraska at Omaha(In-State),7.6,79000,45,5,20600
221,University of North Florida (UNF)(In-State),7.6,82900,55,5,24400
221,University of Texas at San Antonio (UTSA)(In-State),7.6,83500,31,5,26100
232,Pennsylvania State University (Penn State) - Erie-Behrend College(In-State),7.5,124000,69,5,33900
232,State University of New York (SUNY) at Farmingdale(Out-of-State),7.5,129000,45,5,24700
232,Stevens Institute of Technology(Private),7.5,244000,82,5,45800
232,Tennessee State University(In-State),7.5,73700,42,5,26600
232,Texas Tech University(Out-of-State),7.5,123000,59,5,30000
232,University of Houston (UH)(Out-of-State),7.5,131000,48,5,24500
232,University of Missouri - Kansas City (UMKC)(In-State),7.5,101000,52,5,27100
232,University of Texas at Tyler(In-State),7.5,83300,45,5,22200
232,University of Toledo(In-State),7.5,97000,44,5,26300
232,Vermont Technical College(In-State),7.5,98800,55,5,37000
232,Wayland Baptist University(Private),7.5,95400,32,5,23300
232,"Wayne State University - Detroit, MI(In-State)",7.5,94800,34,5,22900
232,West Texas A & M University(Out-of-State),7.5,80300,40,5,22600
245,Dakota State University(Out-of-State),7.4,82100,41,5,27900
245,"Dickinson State University - Dickinson, ND(In-State)",7.4,65600,33,5,23000
245,"East Central University - Ada, OK(In-State)",7.4,56800,34,5,19000
245,Milwaukee School of Engineering(Private),7.4,187000,56,5,32100
245,"Ottawa University - Ottawa, KS(Private)",7.4,150000,31,5,29800
245,Rose-Hulman Institute of Technology (RHIT)(Private),7.4,232000,78,4,45500
245,Salisbury University(In-State),7.4,91000,66,4,25700
245,Southern Utah University(In-State),7.4,76600,50,6,21400
245,Stony Brook University(Out-of-State),7.4,141000,69,4,25300
245,Texas A&M University - Commerce Campus(In-State),7.4,72800,52,5,25100
245,Texas A&M University - Main Campus(Out-of-State),7.4,158000,79,5,24100
245,University of Alabama in Huntsville(Out-of-State),7.4,142000,46,5,25200
245,University of Massachusetts (UMass) - Lowell Campus(Out-of-State),7.4,161000,54,5,28500
245,University of Texas at Arlington (UTA)(Out-of-State),7.4,126000,42,5,23800
245,Western Michigan University (WMU)(In-State),7.4,91400,54,5,30900
245,Worcester Polytechnic Institute (WPI)(Private),7.4,235000,85,4,43000
261,Frostburg State University(In-State),7.3,79800,49,5,34600
261,Montclair State University(In-State),7.3,113000,64,5,33200
261,Nebraska Methodist College of Nursing & Allied Health(Private),7.3,109000,66,5,36000
261,Ohio University - Main Campus(In-State),7.3,99700,67,4,29500
261,Pennsylvania State University (Penn State) - Main Campus(In-State),7.3,135000,86,4,36200
261,SUNY - College of Technology at Alfred(In-State),7.3,93400,48,4,31300
261,Stanford University(Private),7.3,247000,95,4,29100
261,"Technical Career Institute - Miami, FL(In-State)",7.3,92000,51,5,33200
261,University of Minnesota - Duluth Campus(In-State),7.3,93700,59,5,29000
261,University of Minnesota - Twin Cities(Out-of-State),7.3,129000,78,4,28300
261,University of Wisconsin (UW) - Oshkosh Campus(In-State),7.3,71600,54,5,25800
261,University of Wisconsin (UWM) - Milwaukee(In-State),7.3,90700,44,5,30000
261,Virginia Polytechnic Institute and State University (Virginia Tech)(Out-of-State),7.3,166000,83,4,32400
261,Winston-Salem State University(In-State),7.3,69300,46,5,25800
261,Wright State University - Main Campus(In-State),7.3,91100,39,5,28300
276,California State University - Hayward(Out-of-State),7.2,137000,38,5,23600
276,Lawrence Technological University(Private),7.2,175000,44,5,30100
276,Massachusetts College of Pharmacy and Health Sciences(Private),7.2,189000,71,4,56000
276,Portland State University (PSU)(In-State),7.2,93500,42,5,25600
276,Prairie View A & M University(Out-of-State),7.2,118000,38,4,25700
276,Southern Illinois University (SIU) - Edwardsville Campus(In-State),7.2,92000,50,5,25400
276,Southern University and A&M College(In-State),7.2,76300,32,5,27700
276,Truman State University(In-State),7.2,80100,71,4,23600
276,University of Kentucky (UK)(In-State),7.2,98700,61,5,29500
276,Virginia Military Institute (VMI)(Out-of-State),7.2,192000,71,4,29500
276,Washburn University(In-State),7.2,70600,34,5,21800
276,Worcester State University(In-State),7.2,93200,53,5,27800
288,Babson College(Private),7.1,246000,90,4,30000
288,"Embry-Riddle Aeronautical University (ERAU) - Prescott, AZ(Private)",7.1,188000,58,5,34800
288,Lewis-Clark State College(In-State),7.1,73600,27,5,21300
288,North Dakota State University (NDSU)(Out-of-State),7.1,122000,56,5,34400
288,Pennsylvania State University (Penn State) - Harrisburg Campus(In-State),7.1,124000,67,5,32800
288,Pittsburg State University(In-State),7.1,70200,50,5,23200
288,Utah State University - Regional Campuses and Distance Education(Out-of-State),7.1,119000,50,5,22900
288,Youngstown State University (YSU)(In-State),7.1,84600,33,5,24200
296,Arkansas Tech University(In-State),7,66000,45,5,20900
296,California State University - Chico(Out-of-State),7,137000,59,5,21400
296,Eastern New Mexico University - Main Campus(In-State),7,65200,28,5,18400
296,Fort Hays State University (FHSU)(In-State),7,66500,43,5,22200
296,Harvard University(Private),7,244000,98,4,20300
296,Iowa State University(Out-of-State),7,127000,69,5,27500
296,Lamar University(Out-of-State),7,125000,33,5,25200
296,Texas A&M International University(In-State),7,71800,45,5,16600
296,University of Akron - Main Campus(In-State),7,97400,42,5,29500
296,University of Alaska - Anchorage Campus(Out-of-State),7,127000,25,5,21700
296,University of Illinois at Urbana-Champaign (UIUC)(Out-of-State),7,175000,84,4,28700
296,University of Maine at Orono(In-State),7,93600,60,5,32900
296,University of Oregon(In-State),7,97300,69,4,28900
296,University of Wisconsin (UWEC) - Eau Claire(Out-of-State),7,106000,68,5,27100
296,Winona State University(In-State),7,83800,57,5,36400
296,Youngstown State University (YSU)(Out-of-State),7,85600,33,5,24200
312,Angelo State University(In-State),6.9,76800,30,5,22900
312,Eastern Michigan University(In-State),6.9,84600,37,5,26300
312,Hunter College(Out-of-State),6.9,109000,52,5,19800
312,Lehigh University(Private),6.9,232000,87,4,32100
312,Manhattan College(Private),6.9,211000,75,4,34300
312,Morgan State University(In-State),6.9,89900,32,5,29100
312,Northern Illinois University (NIU)(In-State),6.9,114000,50,5,30300
312,Purdue University - Main Campus(Out-of-State),6.9,168000,73,5,30200
312,Rhode Island College(In-State),6.9,81200,43,5,25400
312,Rice University(Private),6.9,221000,93,4,30400
312,Saginaw Valley State University (SVSU)(In-State),6.9,77800,40,5,30000
312,University of California - Berkeley(Out-of-State),6.9,229000,91,4,23300
312,University of Pittsburgh - Main Campus(In-State),6.9,128000,82,4,37600
312,University of Texas - Pan American (UTPA)(In-State),6.9,68400,43,5,15300
312,University of Texas of the Permian Basin (UTPB)(Out-of-State),6.9,94000,34,5,16600
327,Alabama A&M University (AAMU)(In-State),6.8,84700,35,5,29700
327,Carnegie Mellon University (CMU)(Private),6.8,251000,88,4,31500
327,Colorado State University (CSU) - Pueblo Campus(In-State),6.8,86000,32,5,21500
327,"Embry-Riddle Aeronautical University (ERAU) - Daytona Beach, FL(Private)",6.8,189000,52,5,52500
327,Florida Agricultural and Mechanical (A&M) University (FAMU)(In-State),6.8,78800,40,5,26200
327,Georgia State University(In-State),6.8,99200,53,5,22400
327,Indiana Institute Of Technology(Private),6.8,149000,31,5,30200
327,James Madison University (JMU)(Out-of-State),6.8,152000,82,4,29600
327,LeTourneau University(Private),6.8,158000,51,4,26800
327,Montana State University - Northern Campus(In-State),6.8,67400,26,5,19100
327,Northeastern State University(In-State),6.8,58900,31,5,19000
327,South Dakota State University (SDSU)(In-State),6.8,89000,57,5,29500
327,University of California - Riverside (UCR)(In-State),6.8,130000,69,5,22900
327,University of New Hampshire (UNH) - Main Campus(In-State),6.8,122000,76,4,37400
327,University of Northern Iowa(In-State),6.8,79500,64,5,22700
327,University of Vermont (UVM)(In-State),6.8,118000,76,4,33100
327,"Victoria University - Victoria, TX(Out-of-State)",6.8,118000,N/A,N/A,22900
327,Western Kentucky University(In-State),6.8,76100,44,5,25300
327,William Paterson University(In-State),6.8,111000,51,5,28000
346,Alaska Pacific University(Private),6.7,149000,60,4,31500
346,Bloomsburg University of Pennsylvania(In-State),6.7,89100,65,4,29100
346,California State University - Fresno (Fresno State)(Out-of-State),6.7,127000,52,5,20300
346,"Clarkson University - Potsdam, NY(Private)",6.7,235000,71,4,37200
346,"Dickinson State University - Dickinson, ND(Out-of-State)",6.7,75100,33,5,23000
346,East Carolina University (ECU)(In-State),6.7,82600,59,5,28300
346,Florida Gulf Coast University(In-State),6.7,78400,49,5,28200
346,Indiana State University(In-State),6.7,82800,40,5,27300
346,Louisiana Tech University(Out-of-State),6.7,126000,52,5,22000
346,North Carolina State University (NCSU)(Out-of-State),6.7,146000,75,5,24700
346,Rensselaer Polytechnic Institute (RPI)(Private),6.7,252000,82,4,42800
346,Rutgers University - Camden Campus(In-State),6.7,117000,53,5,26400
346,SUNY - College of Environmental Science and Forestry (SUNY-ESF)(In-State),6.7,97600,68,4,26000
346,Southern Illinois University (SIU) - Carbondale Campus(In-State),6.7,103000,44,5,29500
346,University of Alabama - Main Campus(In-State),6.7,109000,66,5,36800
346,University of Central Oklahoma (UCO)(In-State),6.7,70400,37,5,25000
346,University of Louisville(In-State),6.7,94800,54,4,25200
346,University of Maryland - College Park(Out-of-State),6.7,176000,85,4,31200
346,University of Medicine and Dentistry of New Jersey(Out-of-State),6.7,176000,81,4,30100
346,University of Mississippi(In-State),6.7,90000,61,5,30300
346,University of Pennsylvania(Private),6.7,252000,96,4,25400
346,University of Texas at Dallas(Out-of-State),6.7,161000,71,4,24500
346,University of Washington - Bothell Campus(Out-of-State),6.7,190000,67,5,20600
346,University of Wisconsin (UWP) - Parkside(In-State),6.7,74800,31,5,23200
346,University of Wyoming (UW)(Out-of-State),6.7,113000,54,5,26700
346,Wabash College(Private),6.7,193000,73,4,37400
346,Wentworth Institute of Technology(Private),6.7,192000,64,4,35200
373,CUNY - City College(Out-of-State),6.6,134000,44,5,20000
373,CUNY - Queens College(Out-of-State),6.6,130000,57,5,19500
373,"Columbia College - Columbia, MO(Private)",6.6,86400,38,4,24600
373,Eastern Connecticut State University(In-State),6.6,97600,56,4,29300
373,Ferris State University(Out-of-State),6.6,113000,43,5,29000
373,Illinois State University(In-State),6.6,106000,72,5,30200
373,Minnesota State University - Mankato Campus(Out-of-State),6.6,104000,50,5,31500
373,New Jersey City University(In-State),6.6,109000,32,5,20700
373,Peru State College(Out-of-State),6.6,67000,37,5,22800
373,Peru State College(In-State),6.6,67000,37,5,22800
373,Radford University(In-State),6.6,84000,59,4,29400
373,Ramapo College of New Jersey(In-State),6.6,118000,72,4,33800
373,Rowan University(In-State),6.6,109000,67,5,30900
373,Shippensburg University of Pennsylvania(In-State),6.6,96100,55,4,34500
373,St. Cloud State University(Out-of-State),6.6,107000,45,5,29300
373,University of California - Santa Cruz (UCSC)(In-State),6.6,135000,77,4,23400
373,University of Central Missouri(In-State),6.6,74600,53,5,27000
373,University of Maryland - Eastern Shore Campus(In-State),6.6,85900,37,5,21800
373,University of Minnesota - Duluth Campus(Out-of-State),6.6,108000,59,5,29000
373,University of Wisconsin (UW) - Stout Campus(Out-of-State),6.6,106000,53,5,28500
393,Bentley University(Private),6.5,232000,88,4,29900
393,California State University - Long Beach (CSULB)(Out-of-State),6.5,136000,65,5,22000
393,California State University - Northridge (CSUN)(Out-of-State),6.5,135000,47,5,19800
393,California State University - Sacramento (CSUS)(Out-of-State),6.5,140000,44,5,21200
393,Cleveland State University(In-State),6.5,102000,39,5,25900
393,"Cornell University - Ithaca, NY(Private)",6.5,250000,93,4,29200
393,Dartmouth College(Private),6.5,257000,95,4,23200
393,Duke University(Private),6.5,252000,95,4,24000
393,Eastern Washington University(In-State),6.5,87000,46,5,24100
393,George Mason University(Out-of-State),6.5,180000,67,4,30100
393,Missouri Southern State University (MSSU)(In-State),6.5,62300,37,5,20900
393,New College of Florida(In-State),6.5,80200,69,4,21900
393,Northern Arizona University (NAU)(In-State),6.5,95200,52,5,25000
393,Texas A&M University - Texarkana Campus(In-State),6.5,69700,N/A,N/A,21000
393,"University at Albany, State University of New York (SUNY)(Out-of-State)",6.5,134000,66,4,27400
393,University of South Dakota(In-State),6.5,81100,56,5,28100
