Name,State,Prog Length,School Type,2013_DRate,2012_DRate,2011DRate
LOUISIANA STATE UNIVERSITY IN SHREVEPORT,LA,8,1,9.4,8.7,10.5
BRIGHTWOOD COLLEGE,CA,5,3,9.4,11.5,16.5
CDA TECHNICAL INSTITUTE,FL,3,3,9.4,7,7.5
ROCKY MOUNTAIN COLLEGE OF ART + DESIGN,CO,8,3,9.4,7,6.8
TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,3,3,9.4,10.6,12.6
SAND SPRINGS BEAUTY COLLEGE,OK,3,3,9.4,13.6,9.2
TONI&GUY HAIRDRESSING ACADEMY,FL,3,3,9.4,2.7,10.2
CHAMPLAIN VALLEY EDUCATIONAL SERVICES,NY,4,1,9.4,11.2,18.6
SCHUYLER STEUBEN CHEMUNG TIOGA ALLEGANY BOCES,NY,3,1,9.4,12.5,12.8
HILLYARD TECHNICAL CENTER,MO,11,1,9.4,8.8,7.5
OEHRLEIN SCHOOL OF COSMETOLOGY,IL,3,3,9.4,7.8,0
MIAMI UNIVERSITY,OH,8,1,9.3,11.9,14.4
IDAHO STATE UNIVERSITY,ID,8,1,9.3,10.5,15
FRANKLIN UNIVERSITY,OH,8,2,9.3,10,12.4
COASTAL CAROLINA UNIVERSITY,SC,8,1,9.3,9.2,10.6
AMERICAN CAREER COLLEGE,CA,5,3,9.3,8,7.4
UNIVERSITY OF THE SACRED HEART,PR,8,2,9.3,11.3,17.3
FLORIDA NATIONAL UNIVERSITY,FL,8,3,9.3,10.7,16
MIDDLESEX COUNTY COLLEGE,NJ,5,1,9.3,6.2,7
NEW ENGLAND INSTITUTE OF ART (THE),MA,6,3,9.3,12,14.7
CONCORDE CAREER COLLEGE,OR,5,3,9.3,8.8,11.6
DALLAS NURSING INSTITUTE,TX,6,2,9.3,11.3,5.6
BELMONT ABBEY COLLEGE,NC,6,2,9.3,13.7,14
LOUISIANA COLLEGE,LA,8,2,9.3,8,10.9
CUESTA COLLEGE,CA,5,1,9.3,11,11.1
HARRINGTON COLLEGE OF DESIGN,IL,8,3,9.3,11.5,13.1
IRENE'S MYOMASSOLOGY INSTITUTE,MI,2,3,9.3,8.8,7.9
KENNETH SHULER SCHOOL OF COSMETOLOGY,SC,3,3,9.3,17.9,7.1
POLARIS CAREER CENTER - ADULT EDUCATION DEPARTMENT,OH,3,1,9.3,15.2,22.3
LA BELLE BEAUTY SCHOOL,FL,3,3,9.3,5.5,8.5
ULSTER COUNTY BOCES SCHOOL OF PRACTICAL NURSING,NY,3,1,9.3,16.3,14.2
WESTERN AREA CAREER & TECHNOLOGY CENTER,PA,3,1,9.3,14,14.2
NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,CT,5,1,9.3,6,4
STERLING COLLEGE,VT,6,2,9.3,12.8,3
AVEDA INSTITUTE TUCSON,AZ,3,3,9.3,0,0
CHILLICOTHE BEAUTY ACADEMY,MO,3,3,9.3,12.1,16.1
JEFFERSON COUNTY DUBOIS AREA VOCATIONAL TECHL SCHOOL PRACTICAL NU,PA,3,1,9.3,10.8,15.6
LA'JAMES INTERNATIONAL COLLEGE,NE,3,3,9.3,17.9,11.3
PAT GOINS RUSTON BEAUTY SCHOOL,LA,3,3,9.3,6.2,6.2
DALHOUSIE UNIVERSITY,FC,8,5,9.3,6.6,4.4
UNIVERSITY OF GREENWICH,FC,8,5,9.3,6.2,0
NEW YORK SCHOOL OF ESTHETICS & DAY SPA,NY,2,3,9.3,0,0
GRAND CANYON UNIVERSITY,AZ,8,3,9.2,10.3,15.7
UNIVERSITY OF MOUNT OLIVE,NC,8,2,9.2,8.9,10.3
UNIVERSITY OF BRIDGEPORT,CT,8,2,9.2,8.8,9.1
CITY COLLEGE,FL,6,2,9.2,9.4,14.8
FORT LEWIS COLLEGE,CO,8,1,9.2,8.4,7.2
RARITAN VALLEY COMMUNITY COLLEGE,NJ,5,1,9.2,9.9,8.5
CONCORDE CAREER COLLEGE,CA,5,3,9.2,11.4,10.4
TENNESSEE WESLEYAN UNIVERSITY,TN,8,2,9.2,8.2,9.5
ST. PAUL'S SCHOOL OF NURSING,NY,5,3,9.2,5.8,0
STERLING COLLEGE,KS,6,2,9.2,9.1,10.2
HERITAGE INSTITUTE,FL,5,3,9.2,8.9,15.3
GALLERY COLLEGE OF BEAUTY (THE),MI,3,3,9.2,9.1,15.1
BETHEL COLLEGE,KS,6,2,9.2,7.1,5
JOLIE HEALTH AND BEAUTY ACADEMY,PA,3,3,9.2,23.8,6.4
ATELIER ESTHETIQUE INSTITUTE OF ESTHETICS,NY,3,3,9.2,10.6,0
VENTURA ADULT AND CONTINUING EDUCATION,CA,3,1,9.2,11.4,39
WASHINGTON SARATOGA WARREN HAMILTON ESSEX BOCES,NY,3,1,9.2,11.4,23.9
COLUMBIA AREA CAREER CENTER,MO,3,1,9.2,14.5,19
NEIGHBORHOOD PLAYHOUSE SCHOOL OF THE THEATRE (THE),NY,4,2,9.2,9,12.5
SOUTHERN NEW HAMPSHIRE UNIVERSITY,NH,8,2,9.1,8.2,6.8
COLUMBIA COLLEGE CHICAGO,IL,8,2,9.1,10.3,12.9
SOUTHEAST MISSOURI STATE UNIVERSITY,MO,8,1,9.1,10.1,11.6
PITTSBURG STATE UNIVERSITY,KS,8,1,9.1,8.5,10.5
BUCKS COUNTY COMMUNITY COLLEGE,PA,5,1,9.1,9.6,11.2
TRINITY COLLEGE,DC,8,2,9.1,10.4,12.7
PENN COMMERCIAL BUSINESS/TECHNICAL SCHOOL,PA,5,3,9.1,14.4,16
PINNACLE CAREER INSTITUTE,KS,5,3,9.1,15.1,15.2
HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY,PA,8,2,9.1,8.2,19.5
PJ'S COLLEGE OF COSMETOLOGY,IN,4,3,9.1,11.2,16.8
JUDSON COLLEGE,AL,6,2,9.1,13.2,11.7
PJ'S COLLEGE OF COSMETOLOGY,IN,3,3,9.1,6.4,13.3
CUYAHOGA VALLEY CAREER CENTER,OH,4,1,9.1,4.7,11.5
SUFFOLK COUNTY COMMUNITY COLLEGE,NY,5,1,9,8.9,10.1
SOUTHEASTERN LOUISIANA UNIVERSITY,LA,8,1,9,7.7,8.7
WILMINGTON UNIVERSITY,DE,8,2,9,7.7,8.4
PURDUE UNIVERSITY - CALUMET,IN,8,1,9,9.4,14.6
NEW JERSEY CITY UNIVERSITY,NJ,8,1,9,7.2,6.5
EASTERN OREGON UNIVERSITY,OR,8,1,9,8,8.4
HOWARD COMMUNITY COLLEGE,MD,5,1,9,7.5,10.4
LAKELAND COLLEGE,WI,8,2,9,5.3,6.2
INDIANA UNIVERSITY - KOKOMO,IN,8,1,9,10.8,12
TRINE UNIVERSITY,IN,8,2,9,8.2,8.5
MIDLAND UNIVERSITY,NE,8,2,9,9.6,7.9
FREMONT COLLEGE,CA,6,3,9,13.7,16.5
MICHIGAN COLLEGE OF BEAUTY,MI,3,3,9,12.1,14.2
DEAN INSTITUTE OF TECHNOLOGY,PA,5,3,9,14.1,25.2
UNIVERSAL COLLEGE OF HEALING ARTS,NE,5,3,9,11.6,18.3
DAVIS COLLEGE,NY,6,2,9,7.2,9.7
JEFFERSON LEWIS BOCES PROGRAM OF PRACTICAL NURSING,NY,3,1,9,15,8.3
OAK HILLS CHRISTIAN COLLEGE,MN,6,2,9,3.8,5
MANUEL AND THERESA'S SCHOOL OF HAIR DESIGN,TX,3,3,9,11.1,18.7
SEARCY BEAUTY COLLEGE,AR,3,3,9,10.6,9.3
AUSTRALIAN NATIONAL UNIVERSITY,FC,8,5,9,5.6,4.3
MASSAGE THERAPY INSTITUTE OF COLORADO,CO,3,3,9,3.3,1.6
CAYUGA ONONDAGA BOCES,NY,3,1,9,15.1,15.3
EXPOSITO SCHOOL OF HAIR DESIGN,TX,3,3,9,2.8,10.8
GRAHAM HOSPITAL SCHOOL OF NURSING,IL,11,2,9,11.8,8.4
GALAXY MEDICAL COLLEGE,CA,3,3,9,0,0
UNIVERSITY OF MEMPHIS (THE),TN,8,1,8.9,9.8,12.4
UNIVERSITY OF PUERTO RICO - CENTRAL ADMINISTRATION,PR,8,1,8.9,10.6,11.9
COLORADO STATE UNIVERSITY-PUEBLO,CO,8,1,8.9,9.1,13.7
POINT PARK UNIVERSITY,PA,8,2,8.9,9.4,11.2
MANSFIELD UNIVERSITY OF PENNSYLVANIA,PA,8,1,8.9,8,10.5
ROCKY MOUNTAIN COLLEGE,MT,8,2,8.9,8.2,3.4
UNITY COLLEGE,ME,8,2,8.9,5.2,3.9
CREATIVE IMAGES INSTITUTE OF COSMETOLOGY,OH,4,3,8.9,4.9,7.5
TRIANGLE TECH,PA,5,3,8.9,6,10.6
AVEDA INSTITUTE CHAPEL HILL,NC,3,3,8.9,14.2,14.1
NEW YORK METHODIST HOSPITAL,NY,4,2,8.9,5.1,3.8
HAIR EXPRESSIONS ACADEMY,MD,3,3,8.9,17.3,17.5
LONG ISLAND BUSINESS INSTITUTE,NY,5,3,8.9,8.4,8.2
SANDUSKY CAREER CENTER,OH,4,1,8.9,15.5,11.1
SALINE COUNTY CAREER CENTER,MO,3,1,8.9,14.2,12.9
CHAMPION BEAUTY COLLEGE,TX,3,3,8.9,6.5,12.7
GEORGIA STATE UNIVERSITY,GA,8,1,8.8,6,8.5
JOHNSON & WALES UNIVERSITY,RI,8,2,8.8,8.7,11
TEXAS WESLEYAN UNIVERSITY,TX,8,2,8.8,7.3,8.4
MEDAILLE COLLEGE,NY,8,2,8.8,7.8,9.1
BELLEVUE COLLEGE,WA,6,1,8.8,9.4,8
UNIVERSITY OF DUBUQUE,IA,8,2,8.8,10.9,8.6
HARDIN-SIMMONS UNIVERSITY,TX,8,2,8.8,6.7,9.1
HEIDELBERG UNIVERSITY,OH,8,2,8.8,7.8,9
GALLAUDET UNIVERSITY,DC,8,2,8.8,5.3,7.3
GLENDALE COMMUNITY COLLEGE,CA,5,1,8.8,9.5,6.6
DIESEL DRIVING ACADEMY,LA,2,3,8.8,10.6,9.4
SOUTHEASTERN INSTITUTE,SC,3,3,8.8,13.6,13
PAUL MITCHELL THE SCHOOL COLUMBUS,OH,3,3,8.8,13.1,13
ARTHUR'S BEAUTY COLLEGE,AR,3,3,8.8,8.9,12.6
AMERICAN COLLEGE OF HAIR DESIGN,MO,3,3,8.8,8.6,9.8
CENTRA COLLEGE OF NURSING,VA,5,2,8.8,4.4,5.5
EQ SCHOOL OF HAIR DESIGN,IA,4,3,8.8,4.3,21.9
SALON SPA ACADEMY '(THE)',MI,3,3,8.8,13.1,13.1
CHARLES & SUE'S SCHOOL OF HAIR DESIGN,TX,3,3,8.8,2.1,9.7
OHIO UNIVERSITY,OH,8,1,8.7,11.1,15
TARLETON STATE UNIVERSITY,TX,8,1,8.7,7.6,9.1
TEXAS A&M UNIVERSITY - CENTRAL TEXAS,TX,8,1,8.7,7.6,9.1
UNIVERSITY OF CENTRAL MISSOURI,MO,8,1,8.7,8.8,10.1
NORTH CAROLINA CENTRAL UNIVERSITY,NC,8,1,8.7,13.3,16.8
UNIVERSITY OF WEST ALABAMA,AL,8,1,8.7,7.8,9.6
CLARION UNIVERSITY OF PENNSYLVANIA,PA,8,1,8.7,7.6,8.1
UNIVERSITY OF HAWAII AT HILO,HI,8,1,8.7,6.4,9.7
ALEXANDRIA TECHNICAL AND COMMUNITY COLLEGE,MN,5,1,8.7,8.3,12.5
AVERETT UNIVERSITY,VA,8,2,8.7,8.8,9.9
MONMOUTH COLLEGE,IL,6,2,8.7,6.4,7.7
BLUEFIELD COLLEGE,VA,8,2,8.7,7.7,6.5
HICKEY COLLEGE,MO,6,3,8.7,7.3,8.6
BROOKS INSTITUTE,CA,8,3,8.7,10.5,12.6
COLLEGE OF HAIR DESIGN,NE,4,3,8.7,11.9,3.7
AMERICAN BEAUTY SCHOOL,NY,3,3,8.7,14.4,11
TRUETT MCCONNELL COLLEGE,GA,8,2,8.7,12.9,13
AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS,TX,5,3,8.7,19.4,9.7
UNIVERSITY OF COSMETOLOGY ARTS & SCIENCES,TX,3,3,8.7,8.1,17.9
HARROLD BEAUTY ACADEMY,IN,3,3,8.7,0,12.7
ILLINOIS EASTERN COMMUNITY COLLEGES -FRONTIER COMMUNITY COLLEGE,IL,5,1,8.7,17,12.5
EASTERN MICHIGAN UNIVERSITY,MI,8,1,8.6,10.2,12.4
SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,IL,8,1,8.6,8.3,9.3
TEXAS A&M UNIVERSITY - COMMERCE,TX,8,1,8.6,10.1,11
UNIVERSITY OF LOUISIANA AT MONROE,LA,8,1,8.6,9.4,10.7
MISSOURI BAPTIST UNIVERSITY,MO,8,2,8.6,5.9,7.8
ALVERNO COLLEGE,WI,8,2,8.6,7.8,8.3
LAKE SUPERIOR STATE UNIVERSITY,MI,8,1,8.6,10,12.4
EVERGLADES UNIVERSITY,FL,8,2,8.6,10.9,13.9
AVEDA INSTITUTE,MN,3,3,8.6,7.4,6.9
BRIAR CLIFF UNIVERSITY,IA,8,2,8.6,6.6,7.6
MAYFIELD COLLEGE,CA,5,3,8.6,7.9,14
LINCOLN CHRISTIAN UNIVERSITY,IL,8,2,8.6,6.1,8.3
SOUTHERN VIRGINIA UNIVERSITY,VA,6,2,8.6,6.1,8.8
IOWA WESLEYAN COLLEGE,IA,6,2,8.6,13.8,14.9
SWEDISH INSTITUTE,NY,5,3,8.6,9.3,6.7
PAUL MITCHELL THE SCHOOL CHICAGO,IL,3,3,8.6,12.2,12.1
LANCASTER SCHOOL OF COSMETOLOGY & THERAPEUTIC BODYWORK,PA,3,3,8.6,5.4,4.1
COBA COSMETOLOGY ACADEMY,CA,3,3,8.6,16.6,2.9
MAGNOLIA COLLEGE OF COSMETOLOGY,MS,3,3,8.6,3.4,8.6
ANGELES INSTITUTE,CA,3,3,8.6,9.5,15.9
CONTINENTAL SCHOOL OF BEAUTY CULTURE,NY,3,3,8.6,6.4,12.9
PILLAR COLLEGE,NJ,6,2,8.6,13.8,6.7
CAROUSEL BEAUTY COLLEGE,OH,4,3,8.6,10,8.2
UNIVERSITY OF PUERTO RICO - CAYEY UNIVERSITY COLLEGE,PR,6,1,8.6,14.6,11.8
ELIZABETH GRADY SCHOOL OF ESTHETICS AND MASSAGE THERAPY,MA,2,3,8.6,4.8,11.5
CALVARY UNIVERSITY,MO,8,2,8.6,4.5,7.6
ROCKY MOUNTAIN MONTESSORI TEACHER TRAINING PROGRAM,CO,3,2,8.6,8,6.9
CHOFFIN CAREER & TECHNICAL CENTER,OH,3,1,8.6,9.8,16.6
ESTES INSTITUTE OF COSMETOLOGY ARTS & SCIENCES,CA,3,3,8.6,10.5,15.7
HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY,IL,3,3,8.6,4.4,8.9
PCCENTER,TX,3,3,8.6,32.4,23
BOWLING GREEN STATE UNIVERSITY,OH,8,1,8.5,9.6,11.7
UNIVERSIDAD DEL TURABO,PR,8,2,8.5,10.9,13.1
PARK UNIVERSITY,MO,8,2,8.5,7.9,9.8
EVERGREEN STATE COLLEGE (THE),WA,8,1,8.5,8,7.9
XAVIER UNIVERSITY OF LOUISIANA,LA,8,2,8.5,10.3,11.6
SNOW COLLEGE,UT,6,1,8.5,11.4,12.5
OGLETHORPE UNIVERSITY,GA,8,2,8.5,5.9,6.6
LESTER E. COX MEDICAL CENTER,MO,8,2,8.5,7.6,9.2
THOMAS COLLEGE,ME,8,2,8.5,9.2,9.3
CINCINNATI CHRISTIAN UNIVERSITY,OH,8,2,8.5,5.4,9.3
ALDERSON BROADDUS UNIVERSITY,WV,8,2,8.5,7.3,9.9
LAUREL TECHNICAL INSTITUTE,PA,5,3,8.5,9.7,12.8
BELLUS ACADEMY,CA,4,3,8.5,9.2,12.9
LA' JAMES INTERNATIONAL COLLEGE - DES MOINES,IA,4,3,8.5,10,5.7
ANGELES COLLEGE,CA,5,3,8.5,11.3,5.4
INLAND MASSAGE INSTITUTE,WA,2,3,8.5,6.3,20
TURNING POINT BEAUTY COLLEGE,AZ,3,3,8.5,16.6,16.3
WAYNESVILLE CAREER CENTER,MO,3,1,8.5,3.1,15.2
KAY HARVEY HAIRDRESSING ACADEMY,MA,3,3,8.5,8.1,13.6
ROYALE COLLEGE OF BEAUTY,CA,3,3,8.5,11.5,8.2
PUTNAM-WESTCHESTER BOCES,NY,3,1,8.5,14.2,15.3
BRYN ATHYN COLLEGE OF THE NEW CHURCH,PA,8,2,8.5,15.6,5
MURRAY STATE UNIVERSITY,KY,8,1,8.4,10.4,10.2
CARSON - NEWMAN UNIVERSITY,TN,8,2,8.4,9.3,10.3
PLATT COLLEGE,CA,6,3,8.4,9.9,12.6
WASHINGTON ADVENTIST UNIVERSITY,MD,8,2,8.4,8.2,10.1
QUEST COLLEGE,TX,5,3,8.4,5.2,2.6
OAKLAND CITY UNIVERSITY,IN,8,2,8.4,7.8,12.6
STUDIO ACADEMY OF BEAUTY (THE),AZ,3,3,8.4,13.2,31.9
COLLEGE OF COURT REPORTING,IN,5,3,8.4,5.7,7.5
TRINITY BIBLE COLLEGE,ND,6,2,8.4,10,17.8
ACADEMY COLLEGE,MN,6,3,8.4,21.1,27.5
MEREDITH MANOR INTERNATIONAL EQUESTRIAN CENTRE,WV,4,3,8.4,8,24.6
PAUL MITCHELL THE SCHOOL RALEIGH,NC,3,3,8.4,0,0
AUBURN UNIVERSITY MONTGOMERY,AL,8,1,8.3,10.6,13.1
WAYLAND BAPTIST UNIVERSITY,TX,8,2,8.3,9.8,10.8
LINCOLN COLLEGE,IL,6,2,8.3,10.2,9.7
UNIVERSITY OF THE ARTS (THE),PA,8,2,8.3,6.5,8.8
NEWMAN UNIVERSITY,KS,8,2,8.3,6.5,5.8
BRADFORD SCHOOL,OH,5,3,8.3,12.9,10.4
MOUNT IDA COLLEGE,MA,8,2,8.3,9.9,7.9
WOOD TOBE - COBURN SCHOOL,NY,5,3,8.3,10.5,7.7
KANSAS WESLEYAN UNIVERSITY,KS,8,2,8.3,6.3,12.8
ILLINOIS MEDIA SCHOOL,IL,3,3,8.3,20.2,14.9
MARYMOUNT CALIFORNIA UNIVERSITY,CA,8,2,8.3,12.8,11.5
CLEVELAND INSTITUTE OF ART (THE),OH,6,2,8.3,11.8,5.4
CENTER FOR NATURAL WELLNESS SCHOOL OF MASSAGE THERAPY,NY,3,3,8.3,6.5,8.9
JENNY LEA ACADEMY OF COSMETOLOGY,TN,4,3,8.3,8.7,15.8
PORT HURON COSMETOLOGY COLLEGE,MI,3,3,8.3,7.8,7.8
INSTITUTE FOR THERAPEUTIC MASSAGE,NJ,3,3,8.3,8.8,9.8
GLOBAL HEALTH COLLEGE,VA,6,3,8.3,7.9,14.4
MIDWEST COLLEGE OF ORIENTAL MEDICINE,WI,8,3,8.3,0,9
YUKON BEAUTY COLLEGE,OK,3,3,8.3,16.4,20.8
MADISON ONEIDA BOCES PRACTICAL NURSING PROGRAM,NY,3,1,8.3,12.8,7.8
NIGHTINGALE COLLEGE,UT,6,3,8.3,24.6,30.3
ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE,AZ,8,3,8.3,10,11.9
EVANS HAIRSTYLING COLLEGE,ID,4,3,8.3,8.6,8.3
COBB BEAUTY COLLEGE,GA,3,3,8.3,10.5,14.2
AKRON SCHOOL OF PRACTICAL NURSING,OH,3,1,8.3,8.1,9.4
"SAE INSTITUTE OF TECHNOLOGY, LOS ANGELES",CA,3,3,8.3,0,0
RASMUSSEN COLLEGE,MN,6,3,8.2,10.9,17.6
WRIGHT STATE UNIVERSITY,OH,8,1,8.2,9.6,10.4
MISSISSIPPI STATE UNIVERSITY,MS,8,1,8.2,7.9,8.3
WILLIAM PATERSON UNIVERSITY OF NEW JERSEY,NJ,8,1,8.2,6,9.4
UNIVERSITY OF CENTRAL ARKANSAS,AR,8,1,8.2,9.1,10.1
COLORADO CHRISTIAN UNIVERSITY,CO,8,2,8.2,7.9,6.2
BUENA VISTA UNIVERSITY,IA,8,2,8.2,7.3,7.8
SUNY COLLEGE AT OLD WESTBURY,NY,8,1,8.2,7.7,11.4
LA ROCHE COLLEGE,PA,8,2,8.2,7,6.5
NORTHWEST IOWA COMMUNITY COLLEGE,IA,5,1,8.2,10.2,11.7
RICHARD BLAND COLLEGE,VA,5,1,8.2,13.6,15.8
PACIFIC NORTHWEST COLLEGE OF ART,OR,8,2,8.2,5.6,14.5
TEXAS HEALTH SCHOOL,TX,3,3,8.2,8.3,8.1
AMERICAN HAIR ACADEMY,IA,4,3,8.2,9.3,7.8
NORTHERN KENTUCKY UNIVERSITY,KY,8,1,8.1,9.5,9.9
COLUMBUS STATE UNIVERSITY,GA,8,1,8.1,8.7,11.4
LEE UNIVERSITY,TN,8,2,8.1,8.2,11.3
HUSSON UNIVERSITY,ME,8,2,8.1,8.2,9.7
OUR LADY OF THE LAKE UNIVERSITY,TX,8,2,8.1,7.9,9.5
MUSICIANS INSTITUTE,CA,6,3,8.1,9.8,12.5
COLLEGE OF SAINT MARY,NE,8,2,8.1,5.6,8
PERRY TECHNICAL INSTITUTE,WA,5,2,8.1,10.9,13.3
SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,6,3,8.1,5.6,7.7
CAREER NETWORKS INSTITUTE,CA,6,3,8.1,9.4,12.6
GREEN MOUNTAIN COLLEGE,VT,8,2,8.1,9.6,12.2
ROSEMONT COLLEGE,PA,8,2,8.1,6.4,7.2
PHAGANS' SCHOOL OF HAIR DESIGN,OR,4,3,8.1,3.3,8
WAYNE - FINGER LAKES BOCES,NY,3,1,8.1,10.7,6.8
MORENO VALLEY COLLEGE,CA,5,1,8.1,15.2,15.7
PENNSYLVANIA COLLEGE OF ART & DESIGN,PA,6,2,8.1,4.3,12.7
EMPIRE BEAUTY SCHOOL,NY,3,3,8.1,7.1,12.1
FAUST INSTITUTE OF COSMETOLOGY,IA,4,3,8.1,4.5,2.7
UTAH VALLEY UNIVERSITY,UT,8,1,8,7.1,9.1
SAM HOUSTON STATE UNIVERSITY,TX,8,1,8,8.6,10.5
MOREHEAD STATE UNIVERSITY,KY,8,1,8,9.7,12.5
NORTHWEST MISSOURI STATE UNIVERSITY,MO,8,1,8,7.8,9.5
INDIANA UNIVERSITY SOUTHEAST,IN,8,1,8,10.5,12.6
DOMINICAN COLLEGE OF BLAUVELT,NY,8,2,8,6.2,7.1
PACIFIC COLLEGE OF ORIENTAL MEDICINE,CA,8,3,8,9.9,9.8
WEST VIRGINIA WESLEYAN COLLEGE,WV,8,2,8,7.1,11.4
HIRAM COLLEGE,OH,8,2,8,8.1,9.8
LONG ISLAND BEAUTY SCHOOL,NY,3,3,8,6,14.2
GWINNETT COLLEGE,GA,6,3,8,11.1,22.6
MONTREAT COLLEGE,NC,8,2,8,5.3,7.9
FISK UNIVERSITY,TN,8,2,8,11.8,10.4
"UNIVERSITY OF PUERTO RICO, PONCE",PR,6,1,8,12.1,11.9
UNIVERSITY OF PUERTO RICO BAYAMON TECHNICAL UNIVERSITY COLLEGE,PR,6,1,8,9.2,11.9
COTTEY COLLEGE,MO,6,2,8,7.8,11.7
KING'S COLLEGE (THE),NY,6,2,8,2.4,3.7
SEGUIN BEAUTY SCHOOL,TX,3,3,8,9.3,8.2
LEES SCHOOL OF COSMETOLOGY,AR,3,3,8,10.7,12.1
MASTER EDUCATORS BEAUTY SCHOOL,ID,4,3,8,8.1,0
AMERICAN BAPTIST SEMINARY OF THE WEST,CA,8,2,8,21.9,16.6
UNIVERSITY OF NORTH TEXAS,TX,8,1,7.9,7.6,10
UNIVERSITY OF NORTH TEXAS AT DALLAS,TX,8,1,7.9,7.6,
MERCY COLLEGE,NY,8,2,7.9,6,5.5
UNIVERSITY OF WEST GEORGIA,GA,8,1,7.9,8.8,10.4
UNIVERSITY OF NEW ORLEANS (THE),LA,8,1,7.9,7.5,9
CASTLETON UNIVERSITY,VT,8,1,7.9,7.5,7.9
SOUTHWESTERN COLLEGE,KS,8,2,7.9,5,6.7
ADRIAN COLLEGE,MI,8,2,7.9,7.8,7.7
BARTON COLLEGE,NC,8,2,7.9,11.3,9.2
AVEDA INSTITUTE COLUMBUS,OH,3,3,7.9,8.6,16.8
MT. SAN JACINTO COLLEGE,CA,5,1,7.9,18,29.5
BROWN COLLEGE OF COURT REPORTING,GA,5,3,7.9,4.1,12.1
TENNESSEE ACADEMY OF COSMETOLOGY,TN,3,3,7.9,10.4,8.1
CAMBRIDGE COLLEGE OF HEALTHCARE & TECHNOLOGY,FL,5,3,7.9,5.7,8.3
MANCHESTER COMMUNITY COLLEGE,CT,5,1,7.9,6.5,10.7
TEMPLE (THE): A PAUL MITCHELL PARTNER SCHOOL,MD,3,3,7.9,9.8,6.6
MARLBORO COLLEGE,VT,8,2,7.9,1.7,5.4
PAT GOINS BENTON ROAD BEAUTY SCHOOL,LA,3,3,7.9,10,9.3
SUMMIT SALON ACADEMY,WA,4,3,7.9,6.9,8.6
UNIVERSITY OF SOUTH ALABAMA,AL,8,1,7.8,7.5,7.1
UNIVERSITY OF LOUISIANA AT LAFAYETTE,LA,8,1,7.8,7.6,9.3
MIDWESTERN STATE UNIVERSITY,TX,8,1,7.8,8.3,7.4
WAYNE STATE COLLEGE,NE,8,1,7.8,7.2,6.4
SOUTHWEST UNIVERSITY AT EL PASO,TX,6,3,7.8,11.6,15.5
COUNTY COLLEGE OF MORRIS,NJ,5,1,7.8,10.2,12.5
CHESTNUT HILL COLLEGE,PA,8,2,7.8,6.3,7.6
NEW ENGLAND COLLEGE,NH,8,2,7.8,6.1,7.8
SAINT FRANCIS COLLEGE,NY,8,2,7.8,9.2,11.2
RIVER PARISHES COMMUNITY COLLEGE,LA,5,1,7.8,7.5,19.6
AVIATION INSTITUTE OF MAINTENANCE,GA,4,3,7.8,16.3,22.1
TEXAS A & M UNIVERSITY - TEXARKANA,TX,8,1,7.8,8.4,10.4
LYNN UNIVERSITY,FL,8,2,7.8,4.4,6.8
JOHNSON UNIVERSITY,TN,8,2,7.8,7.6,7.4
UNIVERSITY OF SAINT MARY,KS,8,2,7.8,5,7.2
SAINT JOSEPH'S COLLEGE,IN,8,2,7.8,7.6,8.8
MIDSTATE COLLEGE,IL,6,3,7.8,6.9,8.2
CONCORDIA COLLEGE,NY,8,2,7.8,8.4,8.4
PAUL MITCHELL THE SCHOOL-JACKSONVILLE,FL,3,3,7.8,9.8,7.9
WILLIAMS BAPTIST COLLEGE,AR,6,2,7.8,8.9,12.8
OZARK CHRISTIAN COLLEGE,MO,6,2,7.8,5.1,7
PAUL MITCHELL THE SCHOOL MIAMI,FL,3,3,7.8,19.2,28.3
INTERDENOMINATIONAL THEOLOGICAL CENTER,GA,8,2,7.8,10.4,12.7
MONTSERRAT COLLEGE OF ART,MA,6,2,7.8,3.1,10.3
LENAPE TECHNICAL SCHOOL,PA,3,1,7.8,2.7,15.7
SAINT PAUL SCHOOL OF THEOLOGY,KS,8,2,7.8,2.2,6.4
UNIVERSITY OF VICTORIA,FC,8,5,7.8,5.2,4.9
EMILY CARR UNIVERSITY OF ART AND DESIGN,FC,8,5,7.8,5,4.5
"JOFFREY BALLET SCHOOL, AMERICAN BALLET CENTER",NY,11,3,7.8,12.5,16.6
BOISE STATE UNIVERSITY,ID,8,1,7.7,8.3,11.4
INDIANA UNIVERSITY OF PENNSYLVANIA,PA,8,1,7.7,8.8,8.8
UNIVERSITY OF MISSOURI - KANSAS CITY,MO,8,1,7.7,7.2,9.7
NORTHWOOD UNIVERSITY,MI,8,2,7.7,8.8,9.6
RANKEN TECHNICAL COLLEGE,MO,6,2,7.7,9.5,15.4
KING UNIVERSITY,TN,8,2,7.7,5.6,5.5
